0.257stalk-surface-below-ring=k+0.256stalk-surface-above-ring=k+0.234ring-type=l+0.231odor=f-0.215ring-type=p...,'0.244gill-attachment=a-0.24veil-color=w+0.24 stalk-color-above-ring=o+0.24 stalk-color-below-ring=o+0.225habitat=l...',class
-4.021545,-1.173701,p
-3.888265,-2.287927,e
-5.014614,-1.785139,e
-3.969048,-1.749217,p
-3.348318,-1.529809,e
-3.536155,-2.349339,e
-4.486732,-2.099207,e
-4.751648,-2.049232,e
-2.967303,-1.577795,p
-3.887125,-2.237042,e
-3.024238,-2.550061,e
-3.802288,-2.306421,e
-4.064422,-1.996939,e
-3.461442,-1.395497,p
-3.078578,-1.65005,e
-3.119962,-1.873789,e
-3.557783,-1.921323,e
-3.860571,-1.105395,p
-3.97703,-1.692544,p
-4.029528,-1.117028,p
-4.502863,-2.146788,e
-3.008838,-0.756413,p
-4.246592,-2.375341,e
-4.680583,-2.009199,e
-4.480038,-2.134747,e
-3.466838,-1.036684,p
-3.816964,-2.214208,e
-4.332117,-2.10742,e
-2.918496,-1.216758,e
-2.345419,-0.495287,e
-3.901802,-2.144829,e
-4.064886,-1.916359,p
-3.816964,-2.214208,e
-2.116023,-1.705458,e
-4.158736,-2.151526,e
-2.117267,-0.974196,e
-2.978708,-1.435226,e
-3.607641,-1.117274,p
-1.869843,-1.17262,e
-4.494881,-2.203461,e
-3.885909,-2.229984,e
-2.131941,-2.241272,e
-2.400642,-1.312293,e
-2.975286,-1.521122,p
-3.987495,-2.037835,e
-4.13705,-2.190371,e
-3.890144,-2.530235,e
-4.588389,-1.878867,e
-2.610095,-2.210224,e
-2.434453,-2.200452,e
-3.37533,-1.960324,e
-4.466501,-2.277845,e
-5.10247,-2.008953,e
-3.169812,-0.824719,p
-3.709732,-1.223617,p
-4.072995,-2.203707,e
-3.020167,-1.727442,e
-4.664029,-1.859104,e
-3.880283,-2.3446,e
-2.108041,-1.762131,e
-2.98669,-1.378553,e
-4.246592,-2.375341,e
-3.895108,-2.180369,e
-3.64553,-2.373382,e
-4.478821,-2.127689,e
-3.408565,-0.923817,e
-4.378645,-2.054031,e
-2.992129,-2.51477,e
-3.458397,-2.344846,e
-2.31194,-1.29763,e
-1.779942,-1.110666,e
-4.231748,-2.306627,e
-2.027365,-0.912243,e
-2.578213,-1.787756,e
-4.222055,-2.281919,e
-1.930335,-0.627265,e
-2.847845,-0.354181,e
-2.026122,-1.643504,e
-3.004198,-0.596412,p
-2.900998,-1.820564,e
-3.332486,-1.319261,e
-3.818171,-1.900233,p
-2.680492,-1.536982,e
-3.142275,-1.798379,e
-3.074048,-2.633397,e
-3.530673,-0.994754,e
-4.649352,-1.951317,e
-4.386627,-1.997357,e
-2.815257,-1.872745,e
-3.056964,-0.554027,e
-2.928524,-0.998224,e
-4.814967,-2.179624,e
-3.009561,-2.642274,e
-3.289082,-2.528276,e
-3.418592,-0.705283,e
-3.866727,-2.254753,e
-3.045988,-2.040121,e
-3.792427,-2.120786,e
-4.215193,-2.156532,e
-3.602473,-2.539979,e
-2.761072,-1.829452,e
-4.140893,-2.022565,e
-2.992129,-2.51477,e
-2.131941,-2.241272,e
-3.965616,-2.349545,e
-3.808982,-2.270881,e
-2.611858,-2.551098,e
-4.743666,-2.105905,e
-4.231748,-2.306627,e
-4.153109,-2.266142,e
-3.714668,-2.116293,e
-2.504223,-1.964043,e
-2.619693,-0.833089,e
-4.065253,-2.042328,e
-3.373586,-1.171683,p
-2.834607,-2.775147,e
-2.706923,-1.843906,e
-2.603876,-2.607772,e
-1.929751,-0.650407,e
-3.278092,-1.273078,e
-3.636613,-1.379126,p
-3.889976,-2.369308,e
-2.585772,-0.945064,p
-3.258417,-1.467855,e
-3.546642,-2.27859,e
-3.552809,-1.746411,e
-4.071117,-1.961399,e
-2.446946,-2.013722,e
-4.385339,-2.018491,e
-5.007919,-1.820678,e
