@relation 'pulsar_stars_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M2'

@attribute '0.407 Excess kurtosis of the integrated profile+0.388 Skewness of the integrated profile+0.373target_class-0.353 Mean of the integrated profile+0.344 Standard deviation of the DM-SNR curve...' numeric
@attribute '-0.447 Excess kurtosis of the DM-SNR curve-0.428 Skewness of the DM-SNR curve+0.389 Standard deviation of the integrated profile+0.353 Standard deviation of the DM-SNR curve+0.316 Mean of the integrated profile...' numeric
@attribute target {N,Y}

@data
-1.361991,1.147544,N
-1.056943,0.111713,N
0.06616,-0.344032,N
-1.125687,1.368516,N
-0.774318,-2.131848,N
-0.495796,-0.773803,N
-2.659922,-2.539864,N
-1.428157,-1.098464,N
-0.73505,0.022975,N
0.168443,-0.200674,N
-0.618307,1.090956,N
-1.504118,-0.704172,N
-0.119378,1.800604,N
-0.460843,0.031102,N
-0.512107,1.528198,N
-0.975239,0.323645,N
-1.435172,-1.003801,N
-0.388005,0.266294,N
-0.292311,1.786404,N
3.497529,0.532275,Y
-0.128017,0.463389,N
-0.163046,-0.171182,N
-0.629465,-1.259189,N
-0.313946,1.263012,N
-0.827772,0.344497,N
0.158178,1.270438,N
-1.208664,0.335184,N
-1.057878,0.418244,N
-1.08027,0.131858,N
-1.054889,-0.744383,N
-1.262127,-1.611753,N
-2.072234,-3.280447,N
-1.40155,0.141354,N
-1.069801,1.497528,N
-0.828553,0.035918,N
-0.983064,-0.728303,N
-1.478594,0.876075,N
0.244995,-0.490323,N
-0.962432,-2.091079,N
-0.97247,-0.172471,N
-1.110732,0.53904,N
-0.455596,0.385905,N
-0.04181,-1.578963,Y
-0.995869,0.419086,N
-1.781017,-0.770095,N
-0.726183,-0.429165,N
-0.672708,-1.002282,N
-1.067415,-1.312204,N
-0.546315,1.223885,N
-0.908531,-0.033898,N
-1.969782,-0.417179,N
0.07784,0.214412,N
-0.233343,-0.485428,N
-2.376887,-2.492805,N
-2.898078,-1.864884,N
-0.691579,0.801418,N
-0.805682,-0.024442,N
-1.456586,-1.026655,N
-1.113496,0.607566,N
-1.837989,-0.538398,N
0.72853,-0.735296,N
9.137092,-2.989398,Y
0.261351,2.357857,N
-0.657161,-0.104716,N
-1.693316,-0.349809,N
-1.47202,-0.97651,N
-1.033876,0.975496,N
0.417012,-0.036998,N
-0.592872,1.047459,N
-1.993662,-1.135154,N
-0.577045,-0.318096,N
-0.941689,0.582877,N
-1.226366,0.698597,N
-0.618901,0.781265,N
0.56807,0.963005,N
-1.230249,-0.137421,N
-0.251185,1.451763,N
-0.445158,0.897364,N
-0.674934,-0.86277,N
-0.715199,1.483299,N
-0.401463,0.464379,N
-2.034018,-0.154405,N
-0.37011,0.853271,N
-1.335618,-1.658904,N
-0.899516,0.106071,N
-1.171665,0.396106,N
1.265997,1.319823,N
-1.019477,-0.500171,N
-0.698191,-0.932437,N
-1.253829,0.354465,N
-0.334,-0.377934,N
-0.056322,-0.44713,N
10.270302,-1.649855,Y
2.505649,-0.940715,Y
1.402699,3.127715,N
-2.343079,-1.450313,N
1.107444,-1.436172,N
-0.546678,0.444234,N
0.168676,0.229785,N
-0.611938,-0.631292,N
2.53149,1.686086,Y
0.648503,1.064622,N
-0.75125,-0.128638,N
-0.416519,0.006912,N
-0.114957,-0.760861,N
-1.590474,-0.483787,N
-0.427034,0.226571,N
0.076471,-1.747751,N
-0.741231,1.444449,N
-0.77896,-0.055969,N
7.130736,-2.308032,Y
-0.46345,0.945037,N
-0.28422,0.85584,N
-0.705073,0.874409,N
-0.168299,1.223388,N
-1.424915,-1.557758,N
-0.571381,-0.343301,N
0.400345,0.219104,N
-0.409247,2.461889,N
0.719867,-1.300254,N
-0.553976,-1.100139,N
-0.520958,-0.079862,N
-0.147554,-1.63609,N
-0.889182,1.027533,N
0.770395,-1.27475,N
-0.151088,-1.140867,N
-1.177143,-1.636742,N
-0.629558,-1.075022,N
-0.641063,0.09975,N
-1.020545,-0.495333,N
0.928807,-0.166649,N
-0.846077,-0.653327,N
9.783568,-3.706342,Y
-0.320576,-0.792266,N
1.306613,4.004702,N
-1.127784,0.948657,N
-1.390105,-0.103465,N
0.343522,0.089779,N
-0.366931,-0.142993,N
-1.754318,-0.816661,N
-1.238781,0.640568,N
-1.516309,0.379882,N
-0.384,0.51255,N
-1.385847,0.231178,N
-1.455634,0.008029,N
6.72012,1.353925,Y
9.385156,-0.203515,Y
-0.632054,0.786263,N
-0.676506,0.990077,N
-1.424292,-0.223459,N
-0.190777,-0.247562,N
-0.56473,-0.090163,N
-1.787516,-0.540141,N
-1.141239,0.581898,N
-0.314233,-1.506288,N
0.422485,2.386288,N
-2.057642,-2.461783,N
-0.03855,-1.147479,N
-0.527289,-1.43469,N
-0.996563,1.078846,N
